"<ID|readonly|noverify>";"<English>";"<Russian>";"<German>";"<French>";"<Spanish>";"<Japanese>";"<Korean>";"<Chinese>";"<HChinese>";"<Polish>"
"login/steam_is_not_running";"Steam is not running";"Steam не запущен";"Steam läuft nicht";"Steam ne fonctionne pas";"Steam no se está ejecutando";"Steamが\t起動していません";"Steam 실행 중이 아닙니다";"Steam 没\t有\t运\t行";"Steam 没\t有\t运\t行";"Steam nie jest uruchomiony"
"login with your id in Gaijin.net";"Log in with your Gaijin.net account";"Войти с помощью учётной записи Gaijin.Net";"Mit dem Konto von Gaijin.net anmelden";"Connectez-vous avec votre compte Gaijin.net";"Inicia sesión con tu cuenta de Gaijin.net";"Gaijin.net\tアカウントで\tログインするか";"Gaijin.net 계정으로 로그인하거나";"使\t用 Gaijin.net 账\t号\t登\t录";"使\t用\t您\t的 Gaijin.net 账\t号\t登\t录";"Zaloguj się używając konta Gaijin.net"
"or register here";"or register now";"или зарегистрироваться";"oder jetzt registrieren";"ou inscrivez-vous maintenant";"o regístrate ahora";"登録してください";"지금 가입하세요";"或\t立\t即\t注\t册";" ";"lub zarejestruj się teraz"
"FailedToConnect";"Failed to connect to login server.";"Ошибка подключения к серверу.";"Verbindungsfehler bei der Serveranmeldung.";"Échec de la connexion au serveur d'identification.";"No se ha podido conectar con el servidor de acceso.";"ログインサーバーへの\t接続ができませんでした。";"로그인 서버에 연결하지 못했습니다.";"无\t法\t连\t接\t服\t务\t器。";"无\t法\t连\t接\t服\t务\t器。";"Nie można połączyć się z serwerem."
"responseStatus/Authentication failed";"Incorrect login or password";"Неправильный логин или пароль";"Anmeldung oder Passwort falsch";"Identifiant ou mot de passe erroné";"Usuario o contraseña incorrectos";"ログインまたは\tパスワードが\t違います";"로그인 또는 비밀번호 오류";"账\t号\t名\t或\t密\t码\t错\t误";"账\t号\t名\t或\t密\t码\t错\t误";"Niepoprawny login lub hasło"
"yn1/disconnection/psn";"You have been signed out of PlayStation™Network. To play {game}, the online status is required. You will be returned to the login screen.";"Вы отключились от PlayStation™Network. Чтобы играть в {game}, необходимо быть онлайн. Вы будете возвращены в окно логина.";"Du wurdest aus dem PlayStation™Network abgemeldet. Du musst online sein, um {game} spielen zu können. Du wirst zum Login-Bildschirm zurückgeleitet.";"Vous avez été déconnecté(e) du PlayStation™Network. Pour jouer à {game}, vous devez être en ligne. Vous allez retourner à l'écran de connexion.";"Has cerrado la sesión de PlayStationâ¢Network. Para jugar a {game}, se requiere estar en línea. Volverás a la pantalla de inicio de sesión.";"PlayStation™Networkから\tログアウトしました。\t{game}を\tプレイするには、\tオンラインステータスが\t必要です。\tログイン\t画面に\t戻ります。";"PlayStation™ 네트워크에서 로그아웃되었습니다. {game} 은(는) 온라인 상태에서만 플레이할 수 있습니다. 로그인 화면으로 돌아갑니다.";"已\t从 PlayStationâ¢ 网\t络\t断\t开，\t请\t保\t证\t稳\t定\t的\t网\t络\t连\t接\t继\t续\t进\t行 {game}。\t即\t将\t返\t回\t登\t录\t界\t面。";"已\t从 PlayStation\t™ 网\t络\t断\t开。\t如\t需\t游\t玩 {game}，\t请\t保\t持\t在\t线\t状\t态。\t即\t将\t返\t回\t登\t录\t界\t面。";"Zostałeś wylogowany z sieci PlayStation™Network. By zagrać w {game}, musisz się ponownie zalogować. Powrócisz do okna logowania."
"error/SecondLogin";"Login from another device has been detected";"Обнаружен вход с другого устройства";"Ein wurde ein Login von einem anderen Gerät festgestellt";"Une connexion depuis un autre appareil a été détectée";"Se ha detectado el inicio de sesión desde otro dispositivo";"他\tデバイスからの\tログインを\t検出しました";"다른 장치에서 로그인하였습니다";"您\t的\t账\t户\t已\t从\t其\t它\t设\t备\t登\t录";"已\t在\t其\t他\t设\t备\t登\t录";"Wykryto logowanie z innego urządzenia"
"error/ForcedLogout";"You have been disconnected from the game server";"Вы были отсоединены от игрового сервера";"Ihre Verbindung zum Spielserver wurde getrennt";"Vous avez été déconnecté(e) du serveur de jeu";"Has sido desconectado del servidor del juego";"ゲームサーバーから\t切断されました";"게임 서버와의 연결이 끊어졌습니다";"服\t务\t器\t连\t接\t中\t断。";"服\t务\t器\t连\t接\t中\t断。";"Zostałeś rozłączony z serwerem gry"
"dmmError/notRegistered";"Account is not registered";"Аккаунт не зарегистрирован";"Konto ist nicht registriert";"Le compte n'est pas enregistré";"La cuenta no está registrada";"アカウントが\t登録されていません";"계정이 등록되지 않았습니다";"账\t号\t未\t注\t册";"账\t号\t不\t存\t在";"Konto nie jest zarejestrowane"
"dmmError/notRegistered/link/text";"Follow the link.";"Перейдите по линку";"Folge dem Link.";"Suivez le lien.";"Sigue el enlace.";"リンクに\t従ってください。";"링크를 따라가십시오.";"点\t击\t链\t接\t以\t注\t册";"点\t击\t链\t接。";"Śledź ten link."
"error/shouldRunFromDMMLauncher";"Please run game using DMM player.";"Пожалуйста, используйте DMM проигрыватель для запуска игры.";"Starte das Spiel über den DMM Player.";"Lancez le jeu avec un logiciel DMM.";"Por favor, ejecuta el juego usando el reproductor DMM.";"「DMM GAME PLAYERを\t起動してください。」";"DMM 플레이어로 게임을 실행하세요.";"请\t通\t过 DMM 启\t动\t器\t启\t动\t游\t戏。";"请\t通\t过 DMM 启\t动\t器\t启\t动\t游\t戏。";"Proszę uruchomić grę używając odtwarzacza DMM."
"live_login_failed";"Login failed, try restarting the console:
- press and hold the Xbox button until the console turns off
- after the console shuts down, press the Xbox button again to restart";"Ошибка входа, попробуйте перезапустить консоль:
- нажмите и удерживайте кнопку Xbox на консоли пока она не выключится
- после выключения консоли нажмите кнопку Xbox, чтобы снова включить консоль";"Login fehlgeschlagen, versuche die Konsole neuzustarten:
- drücke und halte den Xbox-Schalter bis die Konsole abschaltet
- nachdem die Konsole ausgegangen ist, drücke den Xbox-Schalter zum Neustarten erneut";"Échec de la connexion, essayez de redémarrer la console:
- appuyez et maintenez le bouton Xbox jusqu'à ce que la console s'éteigne
- après que la console se soit éteinte, appuyez sur le bouton Xbox pour la redémarrer";"El inicio de sesión ha fallado, prueba a reiniciar la consola:
- mantén pulsado el botón Xbox hasta que la consola se apague
- después de que la consola se apague, pulsa el botón Xbox de nuevo para reiniciar";"ログインに\t失敗しました。\tゲーム\t機を\t再起動してみてください。\t
- 本体の\t電源が\t切れるまで\tXbox\tボタンを\t押し\t続ける
- 本体が\tシャットダウンした\t後、\tXbox\tボタンをもう\t一度押して\t再起動する";"로그인 실패. 콘솔을 재부팅 해보십시오.
-콘솔이 꺼질 때까지 X BOX 버튼을 꾹 누르십시오.
-콘솔이 꺼진 후, X BOB 버튼을 다시 꾹 눌러 다시 부팅하십시오.";"登\t录\t失\t败，\t请\t遵\t循\t以\t下\t步\t骤\t尝\t试\t重\t新\t启\t动\t主\t机：
- 长\t按 Xbox 按\t钮，\t等\t待\t设\t备\t关\t闭
- 设\t备\t完\t全\t关\t闭\t后，\t再\t次\t按\t下 Xbox 按\t钮\t进\t行\t重\t新\t启\t动";"登\t陆\t失\t败，\t请\t尝\t试\t重\t启\t主\t机：
- 持\t续\t按\t住 Xbox 键，\t直\t到\t主\t机\t关\t闭
- 等\t到\t主\t机\t关\t闭\t后，\t再\t次\t按 Xbox 键\t重\t启";"Logowanie nie powiodło się, spróbuj ponownie uruchomić konsolę:
- naciśnij i przytrzymaj przycisk Xbox, aż konsola się wyłączy
- po wyłączeniu konsoli naciśnij ponownie przycisk Xbox, aby uruchomić ją ponownie"
"error/CLIENT_ERROR_OFFLINE";"Internet connection lost";"Потеряно соединение с интернетом";"Internetverbindung verloren";"Connexion internet perdue";"Se perdió la conexión a Internet";"インターネット\t接続が\t切れました";"인터넷 연결 끊김";"网\t络\t连\t接\t丢\t失";"网\t络\t连\t接\t断\t开";"Brak połączenia internetowego"
"error/OPERATION_NOT_SUPPORTED";"Operation not supported.";"Операция недоступна.";"Vorgang nicht unterstützt.";"Opération non prise en charge.";"Operación no soportada.";"操作は\tサポートされていません。";"지원하지 않는 작업입니다.";"无\t法\t实\t施\t该\t操\t作。";"无\t法\t实\t施\t该\t操\t作。";"Operacja nie jest obsługiwana."
"error/SERVER_ERROR_INTERNAL";"Internal server error.";"Внутренняя ошибка сервера.";"Interner Serverfehler.";"Erreur de serveur interne.";"Error interno del servidor.";"内部\tサーバーエラー。";"내부 서버 오류";"服\t务\t器\t内\t部\t错\t误。";"服\t务\t器\t内\t部\t错\t误。";"Błąd wewnętrzny serwera."
"error/SERVER_ERROR_PEER_NOT_EXISTS";"Player not found.";"Игрок не найден.";"Spieler nicht gefunden.";"Joueur introuvable.";"Jugador no encontrado.";"プレイヤーが\t見つかりませんでした。";"플레이어를 찾을 수 없습니다.";"找\t不\t到\t该\t玩\t家。";"找\t不\t到\t该\t玩\t家。";"Nie znaleziono gracza."
"error/SERVER_ERROR_REQUEST_TIMEOUT";"Operation timed out.";"Время ожидания ответа от сервера истекло.";"Zeitüberschreitung des Vorgangs.";"L'opération a expirée.";"Agotado el tiempo de la operación.";"操作\tタイムアウト。";"작업 시간 초과";"操\t作\t超\t时。";"操\t作\t超\t时。";"Upłynął limit czasu operacji."
"error/SERVER_ERROR_PEER_LOGOUT";"The player logged out during the request performance.";"Игрок вышел из сети во время выполнения запроса.";"Der Spieler hat sich während der Anfrage ausgeloggt.";"Le joueur s'est déconnecté pendant l'exécution de la demande.";"El jugador se cerró la sesión durante la ejecución de la solicitud.";"リクエスト\t実施中に\tプレイヤーが\tログアウトしました。";"요청을 수행하는동안 플레이어가 접속을 종료했습니다.";"该\t玩\t家\t已\t登\t出。";"该\t玩\t家\t已\t登\t出。";"Gracz wylogował się w trakcie żądania operacji."
"error/SERVER_ERROR_PROTOCOL_MISMATCH";"New update is available. Please restart the game to update.";"Доступно обновление. Пожалуйста перезапустите игру для его установки.";"Ein neues Update ist verfügbar. Bitte starte das Spiel neu.";"Une nouvelle mise à jour est disponible. Merci de redémarrer le jeu afin de l'effectuer.";"Hay una nueva actualización disponible. Por favor, reinicia el juego para actualizar.";"新しい\tアップデートが\t利用可能です。\tアップデートするには\tゲームを\t再起動してください。";"업데이트가 필요합니다. 게임을 재시작하여 업데이트하십시오.";"有\t更\t新\t可\t用，\t请\t重\t启\t游\t戏\t进\t行\t更\t新。";"有\t更\t新\t可\t用。\t请\t重\t启\t游\t戏\t并\t更\t新。";"Dostępna jest nowa aktualizacja. Uruchom ponownie grę."
"error/SERVER_ERROR_INVALID_VERSION";"New update is available. Please restart the game to update.";"Доступно обновление. Пожалуйста перезапустите игру для его установки.";"Ein neues Update ist verfügbar. Bitte starte das Spiel neu.";"Une nouvelle mise à jour est disponible. Merci de redémarrer le jeu afin de l'effectuer.";"Hay una nueva actualización disponible. Por favor, reinicia el juego para actualizar.";"新しい\tアップデートが\t利用可能です。\tアップデートするには\tゲームを\t再起動してください。";"업데이트가 필요합니다. 게임을 재시작하여 업데이트하십시오.";"有\t更\t新\t可\t用，\t请\t重\t启\t游\t戏\t进\t行\t更\t新。";"有\t更\t新\t可\t用。\t请\t重\t启\t游\t戏\t并\t更\t新。";"Dostępna jest nowa aktualizacja. Uruchom ponownie grę."
"error/ENLMM.INVALID_CLIENT_VERSION";"New update is available. Please restart the game to update.";"Доступно обновление. Пожалуйста перезапустите игру для его установки.";"Ein neues Update ist verfügbar. Bitte starte das Spiel neu.";"Une nouvelle mise à jour est disponible. Merci de redémarrer le jeu afin de l'effectuer.";"Hay una nueva actualización disponible. Por favor, reinicia el juego para actualizar.";"新しい\tアップデートが\t利用可能です。\tアップデートするには\tゲームを\t再起動してください。";"업데이트가 필요합니다. 게임을 재시작하여 업데이트하십시오.";"有\t更\t新\t可\t用，\t请\t重\t启\t游\t戏\t进\t行\t更\t新。";"有\t更\t新\t可\t用。\t请\t重\t启\t游\t戏\t并\t更\t新。";"Dostępna jest nowa aktualizacja. Uruchom ponownie grę."
"error/SERVER_ERROR_PEER_AUTH_FAILED";"The game hasn't been activated for your account.";"Игра не активирована для вашей учётной записи.";"Das Spiel wurde für dein Konto nicht aktiviert.";"Le jeu n'a pas été activé pour votre compte.";"El juego no ha sido activado para tu cuenta.";"あなたの\tアカウントで\tゲームが\tアクティベートされていません。";"이 계정으로는 접속할 수 없습니다.";"账\t户\t未\t激\t活\t本\t游\t戏。";"账\t户\t未\t激\t活\t本\t游\t戏。";"Gra nie została aktywowana dla Twojego konta."
"error/SERVER_ERROR_ACCESS_DENIED";"The game hasn't been activated for your account.";"Игра не активирована для вашей учётной записи.";"Das Spiel wurde nicht für dein Konto aktiviert.";"Le jeu n'a pas été activé pour votre compte.";"El juego no ha sido activado para tu cuenta.";"あなたの\tアカウントで\tゲームが\tアクティベートされていません。";"이 계정으로는 접속할 수 없습니다.";"账\t户\t未\t激\t活\t本\t游\t戏。";"账\t户\t未\t激\t活\t本\t游\t戏。";"Gra nie została aktywowana dla Twojego konta."
"error/SERVER_ERROR_PLAYER_BANNED";"Your account has been blocked.";"Ваша учётная запись заблокирована.";"Dein Konto wurde gesperrt.";"Votre compte a été bloqué.";"Tu cuenta ha sido suspendida.";"あなたの\tアカウントで\tゲームが\tアクティベートされていません。";"귀하의 계정이 차단 되었습니다.";"账\t户\t被\t封\t禁。";"账\t户\t被\t锁\t定。\t请\t加\t入\tQ\t群\t寻\t求\t帮\t助\t或\t者\t联\t系\t客\t服。";"Twoje konto zostało zablokowane."
"error/SERVER_ERROR_BAD_REQUEST";"Request error.";"Ошибка выполнения запроса.";"Anfragefehler.";"Demande erronée.";"Error en la solicitud.";"リクエストエラー。";"요청 오류";"请\t求\t错\t误。";"错\t误\t的\t请\t求。";"Błąd polecenia."
"error/SERVER_ERROR_ROOM_NOT_FOUND";"Session not found.";"Сессия не найдена.";"Spielsitzung nicht gefunden.";"Session introuvable.";"No se ha encontrado la sesión.";"セッションが\t見つかりませんでした。";"세션을 찾을 수 없습니다.";"找\t不\t到\t该\t游\t戏。";"找\t不\t到\t该\t游\t戏。";"Nie odnaleziono pokoju."
"error/SERVER_ERROR_ROOM_OPERATION_DENIED";"Operation denied.";"Недостаточно прав.";"Vorgang verweigert.";"Opération refusée.";"Operación denegada.";"操作が\t拒否されました。";"작업이 거부되었습니다.";"无\t效\t操\t作。";"操\t作\t无\t效。";"Operacja anulowana."
"error/SERVER_ERROR_ROOM_MAX_OPS";"Maximum number of room operators reached.";"Лимит количества операторов превышен.";"Maximale Anzahl der Kanal-Operatoren erreicht.";"Nombre maximum d'opérateurs de salle atteint.";"Se ha alcanzado el número máximo de operadores de sala.";"ルームオペレーターの\t最大数に\t到達しました。";"방의 최대 인원수에 도달했습니다.";"已\t达\t频\t道\t管\t理\t员\t人\t数\t上\t限。";"已\t达\t频\t道\t管\t理\t员\t人\t数\t上\t限。";"Osiągnięto maksymalną liczbę pokoi dla operatorów."
"error/SERVER_ERROR_ROOM_PASSWORD_MISMATCH";"Password mismatch.";"Неверный пароль.";"Passwort stimmt nicht überein.";"Mot de passe erroné.";"Las contraseñas no coinciden.";"パスワードが\t一致しません。";"비밀번호가 틀립니다.";"密\t码\t不\t符。";"密\t码\t不\t符。";"Nieprawidłowe hasło."
"error/SERVER_ERROR_ROOM_FULL";"The session is full.";"Сессия заполнена.";"Die Spielsitzung ist voll.";"La session est complète.";"La sesión está llena.";"セッションは\t満員です。";"세션이 꽉 찼습니다.";"游\t戏\t已\t满。";"游\t戏\t人\t数\t已\t满。";"Pokój jest pełny."
"error/SERVER_ERROR_ROOM_INVALID_SIZE";"Wrong session size.";"Размер сессии задан неверно.";"Falsche Spielsitzungsgröße.";"Taille de session incorrecte.";"Tamaño equivocado de la sesión.";"セッションサイズが\t正しくありません。";"세션 크기가 잘못되었습니다.";"人\t数\t设\t定\t有\t误。";"人\t数\t设\t定\t有\t误。";"Zła wielkość pokoju."
"error/SERVER_ERROR_ROOM_BANNED";"You are banned in this session.";"Вы в чёрном списке этой сессии.";"Du wurdest von dieser Spielsitzung verbannt.";"Vous êtes banni de cette session.";"Has sido suspendido en esta sesión.";"あなたはこの\tセッションから\tBANされました。";"세션에서 강퇴당했습니다.";"已\t被\t禁\t止\t加\t入\t该\t游\t戏。";"已\t被\t禁\t止\t加\t入\t该\t游\t戏。";"Jesteś zbanowany w tym sezonie."
"error/SERVER_ERROR_ROOM_NOT_BANNED";"The player is not banned.";"Игрок не находится в чёрном списке.";"Der Spieler ist nicht verbannt.";"Le joueur n'est pas banni.";"El jugador no está suspendido.";"この\tプレイヤーは\tBANされていません。";"플레이어가 차단되지 않았습니다.";"该\t玩\t家\t未\t被\t加\t入\t频\t道\t黑\t名\t单。";"该\t玩\t家\t未\t被\t加\t入\t黑\t名\t单。";"Gracz nie jest zablokowany."
"error/SERVER_ERROR_ROOM_BLACKLIST_FULL";"Failed to add the player to the room blocklist.";"Невозможно добавить игрока в список заблокированных.";"Fehler beim Hinzufügen des Spielers auf die Blockierliste des Kanals.";"Impossible d'ajouter le joueur à la liste noire du salon.";"Error al agregar al jugador a la lista negra de la sala.";"プレイヤーを\tルームの\tブラックリストに\t追加できませんでした。";"플레이어를 차단목록에 추가하지 못했습니다.";"无\t法\t将\t该\t玩\t家\t添\t加\t至\t频\t道\t黑\t名\t单。";"无\t法\t将\t该\t玩\t家\t添\t加\t至\t频\t道\t黑\t名\t单。";"Nie powiodło się dodanie gracza na czarną listę."
"error/SERVER_ERROR_ROOM_ACCESS_DENIED";"You are not a member of the playroom.";"Вы не находитесь в списке участников игрового лобби.";"Du bist kein Teilnehmer dieser Spielsitzung.";"Vous n'êtes pas un membre de ce salon en jeu.";"No eres miembro de la sala de juegos.";"プレイルームの\tメンバーではありません。";"전투방에 속해 있지 않습니다.";"无\t法\t加\t入\t该\t房\t间。";"无\t法\t加\t入\t该\t房\t间。";"Nie jesteś członkiem tego pokoju."
"error/SERVER_ERROR_ALREADY_IN_ROOM";"You are already in the session.";"Вы уже в сессии.";"Du befindest dich bereits in dieser Spielsitzung.";"Vous êtes déjà dans la salle.";"Ya estás en la sesión.";"あなたはすでに\tセッションに\t入っています。";"이미 세션에 들어와 있습니다.";"已\t在\t该\t游\t戏\t中。";"已\t在\t该\t游\t戏\t中。";"Jesteś już w pokoju."
"error/SERVER_ERROR_ALREADY_LOGGED";"You have already logged in from another device. If it wasn't you, please contact our support team.";"Был осуществлён вход в ваш аккаунт с другого устройства. Если это были не Вы, обратитесь в службу поддержки.";"Du bist bereits über ein anderes Gerät verbunden. Sollte es sich dabei nicht um dich handeln, wende dich bitte an den Kundendienst.";"Vous vous êtes déjà connecté depuis un autre périphérique ou ordinateur. Si ce n'est pas vous, veuillez contacter notre équipe d'assistance.";"Ya te has conectado desde otro dispositivo. Si no ha sido tú, por favor contacta con nuestro equipo de soporte.";"すでに\t別の\tデバイス\t上で\tログイン\t中です。\tこれがあなたでは\t無い\t場合は、\t当社\tサポートチームまでご\t連絡ください。";"이미 다른 장치에서 로그인했습니다. 다른 사람이 접속한 것 같다면 지원팀에 문의하시기 바랍니다.";"该\t账\t号\t已\t通\t过\t另\t一\t台\t设\t备\t登\t录。\t若\t担\t心\t账\t号\t安\t全\t问\t题，\t请\t联\t系\t客\t服\t团\t队。";"该\t账\t号\t已\t通\t过\t另\t一\t台\t设\t备\t登\t陆。\t如\t果\t登\t录\t者\t不\t是\t本\t人，\t请\t联\t系\t客\t服\t团\t队。";"Zalogowałeś się już z innego urządzenia. Jeśli nie byłeś to Ty, to prosimy o kontakt z naszym działem wsparcia."
"error/SERVER_ERROR_MEMBER_NOT_FOUND";"Player not found.";"Игрок не найден.";"Spieler nicht gefunden.";"Joueur introuvable.";"Jugador no encontrado.";"プレイヤーが\t見つかりませんでした。";"플레이어를 찾을 수 없습니다.";"找\t不\t到\t该\t玩\t家。";"找\t不\t到\t该\t玩\t家。";"Nie znaleziono gracza."
"error/SERVER_ERROR_REQUEST_REJECTED";"The operation rejected by the server.";"Операция отклонена сервером.";"Vorgang vom Server zurückgewiesen.";"L'opération est rejetée par le serveur.";"La operación ha sido rechazada por el servidor.";"操作は\tサーバーにより\t拒否されました。";"작업이 서버에 의해 거부되었습니다.";"服\t务\t器\t拒\t绝\t执\t行\t该\t操\t作。";"服\t务\t器\t拒\t绝\t执\t行\t该\t操\t作。";"Operacja odrzucona przez serwer."
"error/SERVER_ERROR_ALREADY_IN_QUEUE";"You are already in the queue.";"Вы уже в очереди.";"Du bist bereits in der Warteschlange.";"Vous êtes déjà dans la file d'attente.";"Ya estás en la cola.";"すでに\tキューに\t入っています。";"이미 대기 중입니다.";"已\t在\t队\t列\t中。";"已\t在\t队\t列\t中。";"Jesteś już w kolejce."
"error/SERVER_ERROR_NOT_IN_QUEUE";"You are not in the queue.";"Вы не в очереди.";"Du bist nicht in der Warteschlange.";"Vous n'êtes pas dans la file d'attente.";"No estás en la cola.";"あなたは\tキューに\t入っていません。";"대기열에 들어 있지 않습니다.";"尚\t未\t加\t入\t队\t列。";"尚\t未\t加\t入\t队\t列。";"Nie jesteś w kolejce."
"error/SERVER_ERROR_MODE_CHANGED";"Game mode was changed.";"Параметры игрового режима были изменены.";"Spielmodus wurde geändert.";"Le mode de jeu a été changé.";"Se ha cambiado el modo de juego.";"ゲームモードが\t変更されました。";"게임 모드가 변경되었습니다.";"游\t戏\t模\t式\t已\t改\t变。";"游\t戏\t模\t式\t已\t改\t变。";"Zmieniono tryb gry."
"error/SERVER_ERROR_NOT_IN_ROOM";"Player not in the session.";"Игрок не найден в игровой сессии.";"Spieler ist nicht in der Spielsitzung.";"Le joueur n'est pas dans la session.";"El jugador no está en la sesión.";"プレイヤーは\tセッションに\t入っていません。";"세션에 없는 플레이어입니다.";"玩\t家\t不\t在\t该\t游\t戏\t中。";"玩\t家\t不\t在\t该\t游\t戏\t中。";"Gracz nie jest w sesji rozgrywki."
"error/SERVER_ERROR_MISSION_NOT_FOUND";"Mission not found on game host.";"Миссия не найдена на игровом сервере.";"Mission beim Sitzungsleiter nicht gefunden.";"Mission introuvable sur l'hôte du jeu.";"La misión no se encuentra en el anfitrión del juego.";"ゲームホストに\tミッションが\t見つかりませんでした。";"게임 호스트에서 임무를 찾을 수 없습니다.";"游\t戏\t主\t机\t无\t此\t任\t务。";"游\t戏\t主\t机\t无\t此\t任\t务。";"Nie znaleziono hosta dla tej misji."
"error/SERVER_ERROR_NO_FREE_HOSTS";"All battle servers are busy.";"Нет доступных игровых серверов.";"Alle Schlacht-Server sind ausgelastet.";"Tous les serveurs sont occupés.";"Todos los servidores de batalla están ocupados.";"全\tバトルサーバーが\tビジー\t状態です。";"모든 서버가 포화상태입니다.";"所\t有\t战\t斗\t服\t务\t器\t皆\t处\t繁\t忙\t状\t态。";"所\t有\t战\t斗\t服\t务\t器\t都\t处\t于\t繁\t忙\t状\t态。";"Wszystkie serwery są zajęte."
"error/SERVER_ERROR_NOT_SQUAD_LEADER";"You must be a squad leader to perform the operation.";"Операция отклонена, так как вы не являетесь лидером отряда.";"Du musst der Staffelführer sein, um diesen Vorgang ausführen zu können.";"Vous devez être chef d'escouade pour effectuer l'opération.";"Debes ser un líder de escuadrón para realizar la operación.";"この\t操作を\t実施するには\t部隊長である\t必要があります。";"작업을 수행하기 위해서 비행대장이 되어야 합니다.";"只\t有\t小\t队\t长\t才\t能\t执\t行\t该\t操\t作。";"只\t有\t组\t队\t队\t长\t才\t能\t执\t行\t该\t操\t作。";"Musisz być dowódcą oddziału, aby wykonać operację."
"error/SERVER_ERROR_SQUAD_NOT_READY";"Some squad members are not ready.";"Некоторые члены отряда не готовы к бою.";"Einige Staffelmitglieder sind noch nicht bereit.";"Certains membres de l'escouade ne sont pas prêts.";"Algunos miembros del escuadrón no están listos.";"一部分隊\tメンバーの\t準備がまだ\t出来ていません。";"편대원 중 일부가 아직 준비 중입니다.";"部\t分\t小\t队\t成\t员\t尚\t未\t准\t备\t就\t绪。";"组\t队\t成\t员\t尚\t未\t全\t体\t准\t备\t就\t绪。";"Niektórzy członkowie oddziału nie są gotowi."
"error/ALREADY_IN_SQUAD";"Player already in the squad";"Игрок уже находится в отряде";"Spieler ist bereits in der Staffel";"Le joueur est déjà dans l'escouade";"El jugador ya está en el escuadrón";"すでに\t編隊に\t所属しています。";"플레이어가 이미 편대에 있습니다.";"玩\t家\t已\t经\t是\t小\t队\t成\t员\t了";"玩\t家\t已\t经\t在\t另\t一\t个\t组\t队\t中\t了。";"Gracz jest już w oddziale"
"error/NOT_SQUAD_LEADER";"You must be a squad leader to perform the operation.";"Операция отклонена, так как вы не являетесь лидером отряда.";"Du musst der Staffelführer sein, um diesen Vorgang ausführen zu können.";"Vous devez être chef d'escouade pour effectuer cette opération.";"Debes ser un líder de escuadrón para realizar la operación.";"この\t操作を\t行うには\t部隊長である\t必要があります。";"작업을 수행하기 위해서 편대장이 되어야 합니다.";"只\t有\t小\t队\t长\t才\t能\t执\t行\t该\t操\t作。";"只\t有\t组\t队\t队\t长\t才\t能\t执\t行\t该\t操\t作。";"Musisz być dowódcą oddziału, aby wykonać operację."
"error/NOT_SQUAD_MEMBER";"You must be a squad member to perform the operation.";"Операция отклонена, так как вы не являетесь членом отряда.";"Du musst ein Staffelmitglied sein, um diesen Vorgang ausführen zu können.";"Vous devez être membre de l'escouade pour effectuer cette opération.";"Debes ser un miembro de escuadrón para realizar la operación.";"この\t操作を\t行うには\t部隊\tメンバーである\t必要があります。";"작업을 수행하기 위해서 편대원이 되어야 합니다.";"只\t有\t小\t队\t成\t员\t才\t能\t执\t行\t该\t操\t作。";"只\t有\t组\t队\t成\t员\t才\t能\t执\t行\t该\t操\t作。";"Musisz być członkiem oddziału, aby wykonać operację."
"error/NO_SQUAD";"Squad does not exist";"Отряд не существует";"Dieses Squad existiert nicht";"L'escouade n'existe pas";"El escuadrón no existe";"分隊は\t存在しません";"편대가 존재하지 않습니다.";"小\t队\t不\t存\t在";"小\t队\t不\t存\t在";"Drużyna nie istnieje"
"error/SQUAD_FULL";"Squad is full";"Отряд полон";"Das Squad ist voll";"L'escouade est pleine";"El escuadrón está lleno";"編隊は\t満員です。";"편대가 다 찼습니다.";"小\t队\t人\t数\t已\t满";"小\t队\t人\t数\t已\t满";"Oddział jest pełny"
"error/SQUAD_NOT_INVITED";"Player doesn't have any invitations to the squad";"У игрока нет приглашения в отряд";"Der Spieler wurde nicht in das Squad eingeladen";"Le joueur n’a aucune invitation à l'escouade";"El jugador no tiene ninguna invitación al escuadrón";"部隊への\t招待はありません。";"플레이어가 편대 초대를 받지 않았습니다.";"玩\t家\t没\t有\t收\t到\t小\t队\t邀\t请";"玩\t家\t没\t有\t收\t到\t组\t队\t邀\t请";"Gracz nie otrzymał żadnych zaproszeń do oddziału"
"error/SQUAD_LEADER_OFFLINE";"Squad leader not in the game";"Лидер отряда не в игре";"Der Squadleader ist offline";"Le chef d'escouade n'est pas en jeu";"El líder del escuadrón no está en el juego";"分隊長がいません";"편대 리더가 게임에 참여하지 않았습니다.";"小\t队\t长\t不\t在\t线";"小\t队\t队\t长\t不\t在\t线";"Lider drużyny nie jest obecny w grze"
"error/SERVER_ERROR_MEMBER_OFFLINE";"Squad member logged out.";"Член отряда вышел из игры.";"Squadmitglied hat sich ausgeloggt.";"Membre de l'escouade déconnecté.";"Los miembros del escuadrón han salido de la sesión.";"分隊\tメンバーが\tログアウトしました。";"편대원이 로그아웃했습니다.";"小\t队\t成\t员\t已\t登\t出。";"组\t队\t成\t员\t已\t下\t线。";"Członek oddziału wylogował się."
"error/SERVER_ERROR_BAD_MODE_NAME";"Bad game mode.";"Неверный игровой режим.";"Falscher Spielmodus.";"Mode de jeu incorrect.";"Mal modo de juego.";"不正な\tゲームモードです。";"부적절한 게임 모드";"游\t戏\t模\t式\t错\t误。";"游\t戏\t模\t式\t错\t误。";"Zły tryb gry."
